PROD_NO,PR_BATCHNO,EXPIRY,T_RATE,PUR_RATE,MRP,RATE,STKKEY,CL_STK,PUR_AC,SGST,CGST,IGST,PUR_DATE,BILL_NO,PUR_VOUNO,PUR_VOUTYP,PUR_VSERIS
   2348,AFSAF3523,10/25,530.0,530.0,6504.0,4645.72,15,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/13673,1,PR1,2425
   1912,ENSW00523,02/26,170.0,170.0,705.0,537.46,17,0,C   2,2.5,2.5,0.0,2024-06-03,NCC/13673,1,PR1,2425
     63,EBC100124,01/26,1250.0,1250.0,3527.0,1265.0,19,0,C   2,2.5,2.5,0.0,2024-06-03,NCC/13673,1,PR1,2425
   2360,74230036,08/25,120.0,120.0,632.0,165.0,23,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/14678,2,PR1,2425
    318,ZEK0032,12/25,70.0,70.0,447.3,80.0,26,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/14678,2,PR1,2425
    131,GB53P002,01/26,750.0,750.0,6149.0,4392.14,31,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/14678,2,PR1,2425
   3653,IAJV3002A,01/25,65.0,65.0,599.0,427.86,32,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/14678,2,PR1,2425
    313,ABK0047,01/26,30.0,30.0,688.0,461.64,33,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/14678,2,PR1,2425
   2333,7A240002,12/25,105.0,105.0,1720.0,133.5,38,0,C   2,6.0,6.0,12.0,2024-06-03,NCC/13672,3,PR1,2425
   2374,GLT09N26,11/25,245.0,245.0,5635.0,245.01,43,0,C   2,6.0,6.0,0.0,2024-06-03,NCC/13672,3,PR1,2425
   3837,205038,02/26,170.0,170.0,2238.0,320.0,46,0,C   2,2.5,2.5,0.0,2024-06-03,NCC/13672,3,PR1,2425
   6256,MA23180,02/25,6.5,6.5,35.0,7.5,48,0,C   1,6.0,6.0,0.0,2024-06-07,CH/996,5,PR1,2425
   3987,KP1568077,01/26,7.0,7.0,26.38,7.0,49,0,C   1,6.0,6.0,0.0,2024-06-07,CH/996,5,PR1,2425
   6257,PT23D50055,03/25,18.5,18.5,42.79,19.5,50,0,C   1,6.0,6.0,0.0,2024-06-07,CH/996,5,PR1,2425
   6258,LRA0023,01/25,18.15,18.15,48.75,19.5,51,0,C   1,6.0,6.0,0.0,2024-06-07,CH/996,5,PR1,2425
   6259,PT23NS072A,06/25,10.5,10.5,22.03,12.0,52,0,C   3,6.0,6.0,0.0,2024-06-07,CR/08,6,PR1,2425
   6260,PT23NS0027C,05/25,17.5,17.5,39.03,18.45,53,0,C   3,6.0,6.0,0.0,2024-06-07,CR/08,6,PR1,2425
   6263,24510137,01/26,295.0,295.0,413.68,309.75,56,0,C   4,6.0,6.0,0.0,2024-06-07,C/C 1205,7,PR1,2425
   6264,4EA0021,12/25,78.23,65.19,109.53,84.48,57,0,C   4,6.0,6.0,0.0,2024-06-07,C/C 1205,7,PR1,2425
   6265,ULT2401,12/25,48.82,48.82,68.35,51.2,58,0,C   4,6.0,6.0,0.0,2024-06-07,C/C 1205,7,PR1,2425
   6266,RADC3023,08/25,215.68,197.71,301.95,225.5,59,0,C   4,6.0,6.0,0.0,2024-06-07,C/C 1205,7,PR1,2425
   6095,11760007,01/25,250.0,250.0,1789.7,403.9,60,0,C   5,6.0,6.0,0.0,2024-06-08,CC/15579,8,PR1,2425
   6095,11760007,01/25,280.0,280.0,1789.7,403.9,61,0,C   2,6.0,6.0,0.0,2024-06-08,NCC/15567,9,PR1,2425
   3943,KM144189,12/25,25.5,24.74,34.93,27.4,63,0,C   1,6.0,6.0,0.0,2024-06-08,CH/1013,11,PR1,2425
   6268,ODCI-001,12/25,25.0,25.0,39.9,28.4,64,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   6269,NS10040,02/25,39.7,39.7,96.32,46.75,65,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   6270,A0112023,01/26,10.15,10.15,13.08,11.1,66,0,C   1,2.5,2.5,0.0,2024-06-09,CH/1006,12,PR1,2425
   3905,KP1713724,10/25,24.5,23.77,33.0,24.5,67,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   3950,V305784,09/25,35.5,34.44,66.25,35.5,68,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   3940,L1039,01/26,27.0,26.19,37.95,27.0,69,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   3943,KM144179,09/25,25.5,24.74,34.93,25.5,70,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   6271,BLNP274013,09/26,57.0,55.29,83.0,57.0,71,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   6272,TAZ24005,01/27,13.5,13.5,43.92,22.0,72,0,C   1,6.0,6.0,0.0,2024-06-09,CH/1006,12,PR1,2425
   6273,2154R056,02/26,550.0,550.0,897.25,685.0,73,0,C   6,2.5,2.5,0.0,2024-06-11,PCM/3589,13,PR1,2425
   6274,GM8811,08/24,5.75,5.75,10.0,6.85,74,0,C   1,6.0,6.0,0.0,2024-06-11,CH/1051,14,PR1,2425
   1773,NC3029A,05/25,398.0,398.0,632.0,430.0,76,0,C   6,6.0,6.0,0.0,2024-06-18,PCM/3953,15,PR1,2425
   1503,PO240027C,12/26,8500.0,8500.0,21450.0,9500.0,77,0,C   2,6.0,6.0,0.0,2024-06-18,NCC/18379,16,PR1,2425
   6275,MT240562,01/26,141.64,130.31,198.3,142.4,78,0,C   4,6.0,6.0,0.0,2024-06-18,C/C 1274,17,PR1,2425
   6275,MT235663,11/25,141.6,130.27,180.4,142.4,79,0,C   4,6.0,6.0,0.0,2024-06-18,C/C 1274,17,PR1,2425
   6277,GEDD0002,04/25,250.09,245.09,350.0,260.0,81,0,C   8,6.0,6.0,0.0,2024-06-22,2425CCB3551,19,PR1,2425
   6278,2333L025B,05/26,172.98,169.52,216.23,180.0,82,0,C   9,2.5,2.5,0.0,2024-06-26,CC-2187,20,PR1,2425
   6268,ODCI-001,12/25,25.0,25.0,39.9,28.4,83,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6279,AS9089,03/26,2.6,2.6,5.1,3.0,84,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6280,AM8957,06/25,9.5,9.5,47.0,11.0,85,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   2743,RN9135,02/26,2.7,2.7,6.0,2.8,86,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6281,1302066,10/25,32.5,31.53,70.97,32.5,87,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6282,V639038,03/25,12.5,12.13,24.98,12.5,88,0,C   1,2.5,2.5,0.0,2024-06-26,CH/1329,21,PR1,2425
   6283,87815,08/25,37.8,36.67,50.5,37.8,89,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   3933,1255135,11/24,14.7,14.26,27.9,14.7,90,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   3938,388069,07/25,63.75,61.84,223.5,63.75,91,0,C   1,3.0,3.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6284,1431108,08/25,24.5,23.77,34.6,24.5,92,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   3976,KP247272,12/25,12.1,11.74,45.16,12.1,93,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6285,1201071,03/25,95.6,92.73,408.6,95.6,94,0,C   1,2.5,2.5,0.0,2024-06-26,CH/1329,21,PR1,2425
   6286,2527068,09/24,43.0,41.71,69.0,43.0,95,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   3950,V305801,09/25,35.5,33.4,66.25,35.5,96,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6287,V22176A,02/25,42.5,42.5,135.5,45.0,97,0,C   1,6.0,6.0,0.0,2024-06-26,CH/1329,21,PR1,2425
   6288,EM230255A,08/26,54.83,40.35,71.97,54.83,99,0,C   4,2.5,2.5,0.0,2024-07-02,C/C1760,23,PR1,2425
   6289,ELF8AV4002,08/26,74.32,61.54,104.05,74.32,100,0,C   4,6.0,6.0,0.0,2024-07-02,C/C1760,23,PR1,2425
   6290,C0124,02/26,48.92,45.01,68.5,48.92,101,0,C   4,6.0,6.0,0.0,2024-07-02,C/C1760,23,PR1,2425
   6268,ODCI-010,01/26,25.0,25.0,39.9,28.4,104,0,C   1,6.0,6.0,0.0,2024-07-02,CH/1439,26,PR1,2425
   6293,HY24001SR,01/26,8.55,8.55,12.59,9.0,105,0,C   1,6.0,6.0,0.0,2024-07-02,CH/1439,26,PR1,2425
   3940,L1089,01/26,27.0,26.19,37.95,27.0,106,0,C   1,6.0,6.0,0.0,2024-07-02,CH/1439,26,PR1,2425
   6294,1848,01/25,130.0,130.0,250.0,135.0,107,0,C   3,6.0,6.0,0.0,2024-07-02,CR/14,27,PR1,2425
   6295,8623,05/25,8.0,8.0,25.0,8.75,108,0,C   3,6.0,6.0,0.0,2024-07-02,CR/14,27,PR1,2425
   6297,24C07K93,02/29,3.2,3.2,10.0,4.0,110,0,C  10,6.0,6.0,0.0,2024-07-02,4554,28,PR1,2425
   6298,AP-23602,06/25,42.0,42.0,386.7,45.0,111,0,C   3,6.0,6.0,0.0,2024-07-03,CR/15,29,PR1,2425
   6299,22900,10/24,32.0,32.0,48.16,35.0,112,0,C   3,6.0,6.0,0.0,2024-07-03,CR/15,29,PR1,2425
   6300,404412,02/27,4.9,4.9,19.8,5.58,113,0,C   1,6.0,6.0,0.0,2024-07-03,CH/1466,30,PR1,2425
   6301,414148,03/27,4.9,4.9,19.8,5.58,114,0,C   1,6.0,6.0,0.0,2024-07-03,CH/1466,30,PR1,2425
   3950,V305801,09/25,35.5,33.4,66.25,35.5,115,0,C   1,6.0,6.0,0.0,2024-07-03,CH/1466,30,PR1,2425
   6302,SUNDARAM,06/25,185.0,185.0,570.0,210.0,116,0,C   1,6.0,6.0,0.0,2024-07-02,CH/1440,25,PR1,2425
   6303,18230334,05/26,81.12,81.12,113.57,81.12,119,0,C   7,6.0,6.0,0.0,2024-07-05,87582,33,PR1,2425
   6304,05240153,12/26,219.64,219.64,307.5,219.64,120,0,C   7,6.0,6.0,0.0,2024-07-05,87582,33,PR1,2425
   6305,AT020424,03/27,392.79,392.79,515.55,392.79,121,0,C   7,2.5,2.5,0.0,2024-07-05,87582,33,PR1,2425
   6306,GPI064007B,08/26,145.22,145.22,203.3,145.22,122,0,C   7,6.0,6.0,0.0,2024-07-05,87582,33,PR1,2425
   6307,JKN014001AS,12/26,167.55,167.55,234.55,167.55,123,0,C   7,6.0,6.0,0.0,2024-07-05,87582,33,PR1,2425
   6308,60001208,04/27,31.43,31.43,44.0,31.43,124,0,C   7,6.0,6.0,0.0,2024-07-05,87582,33,PR1,2425
   6309,GTE2999A,11/25,375.0,375.0,525.0,375.0,125,0,C   4,6.0,6.0,0.0,2024-07-05,17450,34,PR1,2425
   6310,APCO27,07/26,415.0,348.6,581.0,415.0,126,0,C  12,6.0,6.0,0.0,2024-07-05,30722,35,PR1,2425
   6311,HM7033,03/25,58.57,58.57,76.1,58.57,127,0,C  12,6.0,6.0,0.0,2024-07-05,CASH30336,36,PR1,2425
   6312,GTF1013A,03/26,187.86,187.86,263.0,187.86,128,0,C  13,6.0,6.0,0.0,2024-07-05,CASH47583,37,PR1,2425
   6312,GTF1796A,05/26,187.86,187.86,263.0,187.86,129,0,C  13,6.0,6.0,0.0,2024-07-05,CASH47583,37,PR1,2425
   5291,ATR24004,02/26,28.0,28.0,47.51,29.75,130,0,C  14,6.0,6.0,0.0,2024-07-05,C/C7705,38,PR1,2425
   6313,24112,00/00,12.2,12.2,32.1,15.0,131,0,C  14,6.0,6.0,0.0,2024-07-05,C/C7705,38,PR1,2425
   6075,MLT24033,06/25,20.0,20.0,178.37,25.0,133,0,,3.0,3.0,0.0,2024-07-05,CC/427,39,PR1,2425
   6316,4P01012,03/26,87.86,87.86,123.0,89.0,135,0,C  15,6.0,6.0,0.0,2024-07-05,890431,40,PR1,2425
   3828,702893,08/25,1450.0,1450.0,8360.0,1474.0,136,0,C   2,6.0,6.0,0.0,2024-07-05,NCC/22585,41,PR1,2425
   6317,1064207,10/28,3.15,3.15,10.0,4.0,138,0,C  10,6.0,6.0,0.0,2024-07-06,C/C4814,43,PR1,2425
    230,IHEPB1426,01/26,130.0,130.0,335.77,290.0,140,0,C   6,6.0,6.0,0.0,2024-07-07,PCM/4099,44,PR1,2425
   3987,KP1568087,03/26,7.0,7.0,26.38,8.5,141,0,C  14,6.0,6.0,0.0,2024-07-08,C/C 7904,45,PR1,2425
   5392,24101,02/25,6.6,6.6,13.67,7.0,142,0,C  14,6.0,6.0,12.0,2024-07-08,C/C 7904,45,PR1,2425
   6313,24112,02/26,12.2,12.2,32.1,15.0,143,0,C  14,6.0,6.0,0.0,2024-07-08,C/C 7904,45,PR1,2425
   3905,KP1713751,01/26,23.5,23.5,33.0,24.5,144,0,C  14,6.0,6.0,0.0,2024-07-08,C/C 7904,45,PR1,2425
   6318,PIGAM179,03/26,22.0,22.0,28.74,23.0,145,0,C  14,6.0,6.0,0.0,2024-07-08,C/C 7904,45,PR1,2425
   6319,BBA24001,01/26,31.38,31.38,43.94,31.38,146,0,C  15,6.0,6.0,0.0,2024-07-08,890529,46,PR1,2425
   6320,02240026,12/25,333.9,327.22,467.46,333.9,147,0,C  12,6.0,6.0,0.0,2024-07-08,CASH31860,47,PR1,2425
   6321,E2400790,03/27,59.93,58.73,83.9,59.93,148,0,C  12,6.0,6.0,12.0,2024-07-08,CASH31860,47,PR1,2425
   6322,24070271,03/26,149.11,149.11,208.75,149.11,149,0,C  13,6.0,6.0,12.0,2024-07-08,C/C51953,48,PR1,2425
   6323,010DB2406,03/26,46.07,46.07,64.5,47.0,150,0,C  12,6.0,6.0,0.0,2024-07-09,CASH32268,49,PR1,2425
   6324,15002541,04/26,105.43,105.43,147.6,106.0,151,0,C  12,6.0,6.0,0.0,2024-07-09,CASH32268,49,PR1,2425
   6325,DAZA4008,02/27,158.59,158.59,222.03,159.59,152,0,C  16,6.0,6.0,0.0,2024-07-09,54971,50,PR1,2425
   6326,106231530,10/26,127.19,127.19,185.0,128.19,153,0,C  16,6.0,6.0,0.0,2024-07-09,54971,50,PR1,2425
   6327,202400234,01/27,85.93,85.93,125.0,86.93,154,0,C  16,6.0,6.0,0.0,2024-07-09,54971,50,PR1,2425
   6328,S400079,12/26,43.11,35.93,60.36,44.11,155,0,C  16,6.0,6.0,0.0,2024-07-09,54971,50,PR1,2425
   6329,4GH0255,12/25,433.73,433.73,607.22,434.73,156,0,C  13,6.0,6.0,0.0,2024-07-09,C/C52108,51,PR1,2425
   1972,E16JQ23016,11/26,1650.0,1650.0,3863.32,1860.0,157,0,C  17,6.0,6.0,0.0,2024-07-10,CR/1093,52,PR1,2425
    230,IHEPB1426,01/26,130.0,130.0,335.77,290.0,158,0,C   6,6.0,6.0,0.0,2024-07-10,PCM/5157,53,PR1,2425
   6330,LAA24005,02/26,106.78,106.78,157.5,107.0,159,0,C  13,9.0,9.0,0.0,2024-07-12,C/C52455,54,PR1,2425
   1556,4T00070,02/26,19.04,16.18,26.65,19.04,160,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52455,54,PR1,2425
   6331,BA32777,09/25,97.77,97.77,136.88,98.5,161,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52455,54,PR1,2425
   1570,4SN0678,03/26,17.81,16.47,24.94,18.0,162,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52455,54,PR1,2425
   6332,EMV230490C,02/25,121.43,121.43,170.0,125.0,163,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52455,54,PR1,2425
   6333,RBIB24011,02/27,255.62,255.62,357.87,256.0,164,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52455,54,PR1,2425
   6334,091517,11/25,10.1,9.7,19.94,10.1,165,0,C   1,6.0,6.0,0.0,2024-07-12,CH/1615,55,PR1,2425
   6334,091527,01/26,10.1,9.7,19.94,10.1,166,0,C   1,6.0,6.0,0.0,2024-07-12,CH/1615,55,PR1,2425
   6256,MA23180,02/25,6.5,6.5,35.0,7.5,167,0,C   1,6.0,6.0,0.0,2024-07-12,CH/1616,56,PR1,2425
   6335,N960L005,02/26,68.93,68.93,96.5,69.0,168,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52373,57,PR1,2425
   6336,TLK3L005,01/26,29.76,29.76,41.66,30.0,169,0,C  13,6.0,6.0,0.0,2024-07-12,C/C52373,57,PR1,2425
   4500,EPS1C23028,06/26,160.0,160.0,1056.0,175.0,173,0,C   6,6.0,6.0,0.0,2024-07-13,PCM/5169,59,PR1,2425
   6337,C401005,03/28,291.25,242.71,407.75,291.25,174,0,C   9,6.0,6.0,0.0,2024-07-13,CC-2588,60,PR1,2425
   6316,4P01012,03/26,87.86,87.86,123.0,89.0,175,0,C  15,6.0,6.0,0.0,2024-07-13,890783,61,PR1,2425
   2765,KA24020,03/27,268.0,268.0,397.62,282.2,176,0,C   6,2.5,2.5,0.0,2024-07-15,PCM/5366,62,PR1,2425
    924,B10924011,03/26,238.0,238.0,438.33,254.0,177,0,C   6,2.5,2.5,0.0,2024-07-15,PCM/5366,62,PR1,2425
   6338,N23343C,11/25,22.0,22.0,51.13,26.5,178,0,C   6,6.0,6.0,0.0,2024-07-15,PCM/5366,62,PR1,2425
   3862,204935,08/25,876.0,876.0,2990.0,1066.67,179,0,C  17,2.5,2.5,0.0,2024-07-15,CR/1154,63,PR1,2425
   1437,4GG0083,01/26,1150.0,1150.0,4290.0,1500.0,180,0,C   6,6.0,6.0,0.0,2024-07-17,PCM/5405,64,PR1,2425
    809,B08723003,10/25,1180.0,1180.0,4642.77,1380.0,182,0,C   6,6.0,6.0,0.0,2024-07-18,PCM/5469,66,PR1,2425
   6339,120662,06/25,156.25,151.56,1015.0,157.25,184,0,C   1,2.5,2.5,0.0,2024-07-18,CH/1712,68,PR1,2425
   6324,15002541,04/26,105.43,103.32,147.6,106.0,185,0,C  12,6.0,6.0,0.0,2024-07-18,CASH35660,69,PR1,2425
   6339,120662,06/25,150.0,150.0,1015.0,157.25,186,0,C  14,2.5,2.5,0.0,2024-07-20,C/C9034,70,PR1,2425
   5470,CTDL3C3,11/25,310.0,310.0,570.0,377.0,187,0,C   2,6.0,6.0,0.0,2024-07-21,NCC/27439,71,PR1,2425
    874,A09624006,01/27,1500.0,1500.0,3353.45,1780.0,188,0,C   2,6.0,6.0,0.0,2024-07-21,NCC/27430,72,PR1,2425
    815,B14224009,04/27,570.0,570.0,2538.58,600.0,189,0,C   6,2.5,2.5,0.0,2024-07-22,PCM/5608,73,PR1,2425
   2989,KA24024,04/27,330.0,330.0,3800.0,370.0,192,0,C   2,6.0,6.0,12.0,2024-07-23,NCC/26513,76,PR1,2425
    179,11020241,02/26,125.0,125.0,1936.0,145.0,193,0,C   2,6.0,6.0,0.0,2024-07-23,NCC/26513,76,PR1,2425
   1437,GG30470,09/25,1030.0,1030.0,4290.0,1585.0,194,0,C   2,6.0,6.0,0.0,2024-07-23,NCC/26513,76,PR1,2425
   1503,PO240027C,12/26,8500.0,8500.0,21450.0,9700.0,195,0,C   2,6.0,6.0,0.0,2024-07-23,NCC/26513,76,PR1,2425
    760,B10924007,03/26,230.0,230.0,438.33,270.0,198,0,C   2,2.5,2.5,0.0,2024-07-23,NCC/26513,76,PR1,2425
   6220,B300405,06/25,180.0,180.0,1677.0,206.5,200,0,C   2,6.0,6.0,0.0,2024-07-29,NCC/29292,78,PR1,2425
   6341,CDA1004,11/25,5625.0,5625.0,17816.1,6830.0,201,0,C  18,6.0,6.0,12.0,2024-07-29,CCB10027,79,PR1,2425
   6337,G401006,03/28,291.25,242.71,407.75,291.25,202,0,C   9,6.0,6.0,0.0,2024-07-29,CC-2952,80,PR1,2425
